city,tract,county,BoroCTLbl,Households (HH) Count,HH 0-10k,HH 10k-15k,HH 15k-25k,HH 25k-35k,HH 35k-50k,HH 50k-75k,HH 75k-100k,HH 100k-150k,HH 150k-200k,HH 200k-UP,Household Median Income,Household Mean Income
 New York,1,Bronx,Bronx 1,0,0,0,0,0,0,0,0,0,0,0,0,0
 New York,2,Bronx,Bronx 2,1328,6.9,2.4,12.3,9.9,11.5,20.4,9.5,15.4,5.9,5.9,59914,72979
 New York,4,Bronx,Bronx 4,1963,7.2,1.9,7.6,3.5,8.5,18.0,17.2,17.3,12.6,6.3,82073,94723
 New York,16,Bronx,Bronx 16,1982,8.4,12.5,11.8,16.5,15.1,17.8,8.1,7.7,1.2,1.1,35802,59663
 New York,19,Bronx,Bronx 19,929,13.7,10.3,6.7,7.2,18.2,19.3,12.4,10.7,0.0,1.6,42075,54415
 New York,20,Bronx,Bronx 20,3151,20.9,14.0,15.6,10.6,9.8,13.7,7.7,5.5,1.2,1.0,24447,43280
 New York,23,Bronx,Bronx 23,2000,23.7,17.4,23.7,10.8,14.1,6.1,3.0,0.3,1.1,0.0,18032,25869
 New York,24,Bronx,Bronx 24,43,0.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,88.4,0,N
 New York,25,Bronx,Bronx 25,1947,22.1,13.5,15.3,10.8,12.7,9.7,5.3,10.5,0.0,0.0,24530,38060
 New York,27.01,Bronx,Bronx 27.01,1061,27.0,10.7,22.1,10.0,15.5,9.8,4.5,0.6,0.0,0.0,20599,27448
 New York,27.02,Bronx,Bronx 27.02,1484,30.5,22.6,10.9,7.7,9.8,3.7,9.0,4.1,1.8,0.0,14375,30388
 New York,28,Bronx,Bronx 28,2309,4.2,3.7,6.3,9.3,18.8,33.7,8.7,12.3,3.0,0.0,52479,60109
 New York,31,Bronx,Bronx 31,597,8.2,4.5,19.8,5.7,21.1,16.2,11.6,11.6,1.3,0.0,44583,51630
 New York,33,Bronx,Bronx 33,1198,31.2,13.7,17.2,13.9,8.5,6.2,2.8,1.1,4.3,1.2,18511,32082
 New York,35,Bronx,Bronx 35,1293,17.2,7.5,18.3,14.2,10.0,12.8,15.5,2.8,0.0,1.8,30490,41607
 New York,37,Bronx,Bronx 37,148,32.4,8.1,17.6,6.1,8.1,25.0,2.7,0.0,0.0,0.0,0,28997
 New York,38,Bronx,Bronx 38,411,11.9,5.6,17.8,9.0,9.2,13.4,14.1,10.7,0.0,8.3,41438,77720
