"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"1400000US36005042902","Census Tract 429.02, Bronx County, New York","4205","387","485","173","1387","332","179","144","198","140","0","12","1839","508","117","119","12","19","105","119"
"1400000US36005033000","Census Tract 330, Bronx County, New York","5885","693","2941","828","897","366","0","17","0","17","0","17","2047","834","0","17","0","17","0","17"
"1400000US36005035800","Census Tract 358, Bronx County, New York","8054","787","779","398","5958","808","0","17","180","196","0","17","883","605","254","199","237","195","17","27"
"1400000US36005037100","Census Tract 371, Bronx County, New York","4322","478","1122","433","1474","353","13","20","18","27","0","12","1463","477","232","149","127","119","105","104"
"1400000US36005038500","Census Tract 385, Bronx County, New York","4757","531","344","234","1521","347","35","38","0","12","0","12","2669","471","188","116","130","95","58","64"
"1400000US36005042100","Census Tract 421, Bronx County, New York","5763","478","1698","451","1029","292","0","17","671","184","0","17","1853","626","512","394","25","41","487","393"
"1400000US36005045101","Census Tract 451.01, Bronx County, New York","1544","167","1283","166","44","33","0","12","111","64","0","12","59","49","47","35","0","12","47","35"
"1400000US36005011800","Census Tract 118, Bronx County, New York","5400","373","3949","360","293","227","0","17","291","125","7","16","660","256","200","111","101","93","99","75"
"1400000US36005020400","Census Tract 204, Bronx County, New York","3091","373","732","283","340","175","0","12","556","267","0","12","1261","285","202","183","42","54","160","178"
"1400000US36005024800","Census Tract 248, Bronx County, New York","3053","318","1805","293","421","304","36","39","330","163","0","12","431","229","30","29","11","18","19","21"
"1400000US36005040800","Census Tract 408, Bronx County, New York","4595","491","693","408","2995","439","163","171","33","51","0","12","520","232","191","122","50","47","141","116"
"1400000US36005048400","Census Tract 484, Bronx County, New York","4126","472","284","156","3303","428","165","230","9","15","0","12","285","227","80","122","80","122","0","12"
"1400000US36005024700","Census Tract 247, Bronx County, New York","2037","212","93","62","1032","205","4","7","6","9","0","12","827","198","75","70","61","67","14","15"
"1400000US36005026602","Census Tract 266.02, Bronx County, New York","5207","541","2997","531","491","217","55","91","110","63","0","17","1301","434","253","137","147","125","106","75"
"1400000US36005036400","Census Tract 364, Bronx County, New York","2688","308","6","8","2189","330","123","180","0","12","0","12","321","181","49","65","0","12","49","65"
"1400000US36005044902","Census Tract 449.02, Bronx County, New York","1876","226","1482","223","179","140","0","12","87","70","0","12","59","65","69","52","48","48","21","29"
"1400000US36005022300","Census Tract 223, Bronx County, New York","5078","421","648","268","829","202","40","61","9","14","0","17","2850","530","702","318","294","199","408","235"
"1400000US36005025400","Census Tract 254, Bronx County, New York","2097","196","1501","215","155","88","26","42","221","85","4","6","114","79","76","47","17","15","59","48"
"1400000US36005029600","Census Tract 296, Bronx County, New York","1592","177","555","149","266","102","14","20","495","179","0","12","214","119","48","35","43","34","5","7"
"1400000US36005037600","Census Tract 376, Bronx County, New York","2319","246","260","110","860","229","44","64","53","50","0","12","1097","309","5","7","0","12","5","7"
