city,tract,county,Total,White,Black,Native,Asian,Pacific Islander,Other,Two or More
 New York,429.02, Bronx County,4205,485,1387,179,198,0,1839,117
 New York,330, Bronx County,5885,2941,897,0,0,0,2047,0
 New York,358, Bronx County,8054,779,5958,0,180,0,883,254
 New York,371, Bronx County,4322,1122,1474,13,18,0,1463,232
 New York,385, Bronx County,4757,344,1521,35,0,0,2669,188
 New York,421, Bronx County,5763,1698,1029,0,671,0,1853,512
 New York,451.01, Bronx County,1544,1283,44,0,111,0,59,47
 New York,118, Bronx County,5400,3949,293,0,291,7,660,200
 New York,204, Bronx County,3091,732,340,0,556,0,1261,202
 New York,248, Bronx County,3053,1805,421,36,330,0,431,30
 New York,408, Bronx County,4595,693,2995,163,33,0,520,191
 New York,484, Bronx County,4126,284,3303,165,9,0,285,80
 New York,247, Bronx County,2037,93,1032,4,6,0,827,75
 New York,266.02, Bronx County,5207,2997,491,55,110,0,1301,253
 New York,364, Bronx County,2688,6,2189,123,0,0,321,49
 New York,449.02, Bronx County,1876,1482,179,0,87,0,59,69
 New York,223, Bronx County,5078,648,829,40,9,0,2850,702
 New York,254, Bronx County,2097,1501,155,26,221,4,114,76
 New York,296, Bronx County,1592,555,266,14,495,0,214,48
 New York,376, Bronx County,2319,260,860,44,53,0,1097,5
 New York,27.01, Bronx County,2868,243,987,0,0,0,1603,35
 New York,65, Bronx County,5312,968,1845,0,103,0,2150,246
 New York,157, Bronx County,4427,607,1011,0,109,0,2650,50
 New York,1, Bronx County,7080,1773,4239,25,125,0,850,68
 New York,67, Bronx County,7256,471,2269,0,0,96,4225,195
 New York,407.02, Bronx County,6891,1514,870,7,295,0,3899,306
 New York,380, Bronx County,5378,371,4223,0,117,0,611,56
 New York,25, Bronx County,5887,903,1344,22,50,20,3389,159
 New York,61, Bronx County,3697,255,2766,0,17,0,545,114
 New York,227.01, Bronx County,5194,604,2107,32,102,0,2224,125
 New York,79, Bronx County,7054,633,2361,0,0,54,3889,117
 New York,167, Bronx County,3625,410,1929,18,0,0,1127,141
 New York,224.01, Bronx County,2637,403,508,0,143,0,1511,72
 New York,28, Bronx County,5269,675,3674,0,29,0,592,299
 New York,158, Bronx County,1082,483,70,0,30,0,412,87
 New York,218, Bronx County,7017,1227,2553,0,166,0,3037,34
 New York,338, Bronx County,4176,696,1628,44,340,0,1299,169
 New York,365.02, Bronx County,2328,239,764,0,0,0,1290,35
 New York,72, Bronx County,5891,901,742,83,1893,0,1702,570
 New York,121.01, Bronx County,2906,432,961,5,30,0,1324,154
 New York,121.02, Bronx County,1509,241,288,0,0,0,906,74
 New York,123, Bronx County,4095,308,1414,4,35,0,2134,200
 New York,133, Bronx County,5995,798,2433,109,229,0,2312,114
 New York,143, Bronx County,1399,61,945,39,0,0,337,17
 New York,144, Bronx County,5513,1413,2214,0,222,0,1488,176
 New York,213.01, Bronx County,1361,191,321,38,0,13,781,17
 New York,145, Bronx County,8004,507,3803,46,6,0,3396,246
 New York,166, Bronx County,2364,1162,249,0,120,0,689,144
 New York,194, Bronx County,2334,869,239,51,69,3,931,172
 New York,229.01, Bronx County,5866,683,2833,36,65,27,1908,314
 New York,132, Bronx County,7191,3946,1921,0,139,0,1185,0
