boro_code,boro_ct201,boro_name,cdeligibil,ct2010,ctlabel,ntacode,ntaname,puma,shape_area,shape_leng,BoroCTLbl,household_income_acs2018_Households (HH) Count,household_income_acs2018_HH 0-10k,household_income_acs2018_HH 10k-15k,household_income_acs2018_HH 15k-25k,household_income_acs2018_HH 25k-35k,household_income_acs2018_HH 35k-50k,household_income_acs2018_HH 50k-75k,household_income_acs2018_HH 75k-100k,household_income_acs2018_HH 100k-150k,household_income_acs2018_HH 150k-200k,household_income_acs2018_HH 200k-UP,household_income_acs2018_Household Median Income,Hospital N,Addresss,System,Number of,GFA,Year built,Latitude,Longitude
"5","5000900",Staten Island,E,"000900","9",SI22,West New Brighton-New Brighton-St. George,"3903",2497009.7135899998247623443603515625000,7729.0167938300000969320535659790039,Staten Island 9,"680",16.9,2.8,11.3,6.9,8.4,10.6,16.9,17.4,3.4,5.4,"53523",RUMC-Bayley Seton,"75 Vanderbilt Avenue, Staten Island, NY 10304",Mount Sinai,"25","502,197","1930",40.622619000000000,-74.077684300000001
"1","1009800",Manhattan,I,"009800","98",MN19,Turtle Bay-East Midtown,"3808",1906016.3500200000125914812088012695313,5534.1998106299997743917629122734070,Manhattan 98,"4222",3.4,1.1,8.5,1.3,4.7,13.2,9.9,14.1,10.1,33.7,"126500",NYU Langone Hospitals,"550 First Avenue, New York, NY 10016",NYU Langone,"844","1,153,372","1900",40.742126499999998,-73.976152900000002
"1","1009800",Manhattan,I,"009800","98",MN19,Turtle Bay-East Midtown,"3808",1906016.3500200000125914812088012695313,5534.1998106299997743917629122734070,Manhattan 98,"4222",3.4,1.1,8.5,1.3,4.7,13.2,9.9,14.1,10.1,33.7,"126500",Rockefeller University Hospital,"1230 York Avenue, New York, NY 10021",Others,"40","1,200,000","1940",40.762503799999998,-73.957727800000001
"1","1010000",Manhattan,I,"010000","100",MN19,Turtle Bay-East Midtown,"3808",1860938.3772100000642240047454833984375,5692.1687370500003453344106674194336,Manhattan 100,"1154",6.5,1.4,2.9,4.9,8.1,14.4,15.6,15.2,7.2,24,"94938",NYU Langone Hospitals,"550 First Avenue, New York, NY 10016",NYU Langone,"844","1,153,372","1900",40.742126499999998,-73.976152900000002
"1","1010000",Manhattan,I,"010000","100",MN19,Turtle Bay-East Midtown,"3808",1860938.3772100000642240047454833984375,5692.1687370500003453344106674194336,Manhattan 100,"1154",6.5,1.4,2.9,4.9,8.1,14.4,15.6,15.2,7.2,24,"94938",Rockefeller University Hospital,"1230 York Avenue, New York, NY 10021",Others,"40","1,200,000","1940",40.762503799999998,-73.957727800000001
"1","1010000",Manhattan,I,"010000","100",MN19,Turtle Bay-East Midtown,"3808",1860938.3772100000642240047454833984375,5692.1687370500003453344106674194336,Manhattan 100,"1154",6.5,1.4,2.9,4.9,8.1,14.4,15.6,15.2,7.2,24,"94938",Memorial Hospital for Cancer and Allied Diseases,"1275 York Avenue, New York, NY 10065",Others,"514","538,454","1940",40.764161500000000,-73.958290599999998
"1","1010200",Manhattan,I,"010200","102",MN17,Midtown-Midtown South,"3807",1860992.7048500000964850187301635742188,5687.8024386600000070757232606410980,Manhattan 102,"49",14.3,0,8.2,0,0,0,0,49,20.4,8.2,"128750",NYU Langone Hospitals,"550 First Avenue, New York, NY 10016",NYU Langone,"844","1,153,372","1900",40.742126499999998,-73.976152900000002
"1","1010200",Manhattan,I,"010200","102",MN17,Midtown-Midtown South,"3807",1860992.7048500000964850187301635742188,5687.8024386600000070757232606410980,Manhattan 102,"49",14.3,0,8.2,0,0,0,0,49,20.4,8.2,"128750",Rockefeller University Hospital,"1230 York Avenue, New York, NY 10021",Others,"40","1,200,000","1940",40.762503799999998,-73.957727800000001
"1","1010200",Manhattan,I,"010200","102",MN17,Midtown-Midtown South,"3807",1860992.7048500000964850187301635742188,5687.8024386600000070757232606410980,Manhattan 102,"49",14.3,0,8.2,0,0,0,0,49,20.4,8.2,"128750",Memorial Hospital for Cancer and Allied Diseases,"1275 York Avenue, New York, NY 10065",Others,"514","538,454","1940",40.764161500000000,-73.958290599999998
"1","1010200",Manhattan,I,"010200","102",MN17,Midtown-Midtown South,"3807",1860992.7048500000964850187301635742188,5687.8024386600000070757232606410980,Manhattan 102,"49",14.3,0,8.2,0,0,0,0,49,20.4,8.2,"128750",Mount Sinai West,"1000 Tenth Avenue, New York, NY 10019",Mount Sinai,"514","1,104,505","1992",40.770002200000000,-73.989668399999999
