boro_code,boro_ct201,boro_name,cdeligibil,ct2010,ctlabel,ntacode,ntaname,puma,shape_area,shape_leng,BoroCTLbl,tract_race_acs2018_Total,tract_race_acs2018_White,tract_race_acs2018_Black,tract_race_acs2018_Native,tract_race_acs2018_Asian,tract_race_acs2018_Pacific Islander,tract_race_acs2018_Other,tract_race_acs2018_Two or More,Hospital N,Addresss,System,Number of,GFA,Year built,Latitude,Longitude
"5","5000900",Staten Island,E,"000900","9",SI22,West New Brighton-New Brighton-St. George,"3903",2497009.7135899998247623443603515625000,7729.0167938300000969320535659790039,Staten Island 9,"1826","620","861","0","224","0","7","114",RUMC-Bayley Seton,"75 Vanderbilt Avenue, Staten Island, NY 10304",Mount Sinai,"25","502,197","1930",40.622619000000000,-74.077684300000001
"1","1009800",Manhattan,I,"009800","98",MN19,Turtle Bay-East Midtown,"3808",1906016.3500200000125914812088012695313,5534.1998106299997743917629122734070,Manhattan 98,"7200","5983","144","7","916","0","73","77",NYU Langone Hospitals,"550 First Avenue, New York, NY 10016",NYU Langone,"844","1,153,372","1900",40.742126499999998,-73.976152900000002
"1","1009800",Manhattan,I,"009800","98",MN19,Turtle Bay-East Midtown,"3808",1906016.3500200000125914812088012695313,5534.1998106299997743917629122734070,Manhattan 98,"7200","5983","144","7","916","0","73","77",Rockefeller University Hospital,"1230 York Avenue, New York, NY 10021",Others,"40","1,200,000","1940",40.762503799999998,-73.957727800000001
"1","1010000",Manhattan,I,"010000","100",MN19,Turtle Bay-East Midtown,"3808",1860938.3772100000642240047454833984375,5692.1687370500003453344106674194336,Manhattan 100,"1768","1401","35","0","304","0","0","28",NYU Langone Hospitals,"550 First Avenue, New York, NY 10016",NYU Langone,"844","1,153,372","1900",40.742126499999998,-73.976152900000002
"1","1010000",Manhattan,I,"010000","100",MN19,Turtle Bay-East Midtown,"3808",1860938.3772100000642240047454833984375,5692.1687370500003453344106674194336,Manhattan 100,"1768","1401","35","0","304","0","0","28",Rockefeller University Hospital,"1230 York Avenue, New York, NY 10021",Others,"40","1,200,000","1940",40.762503799999998,-73.957727800000001
"1","1010000",Manhattan,I,"010000","100",MN19,Turtle Bay-East Midtown,"3808",1860938.3772100000642240047454833984375,5692.1687370500003453344106674194336,Manhattan 100,"1768","1401","35","0","304","0","0","28",Memorial Hospital for Cancer and Allied Diseases,"1275 York Avenue, New York, NY 10065",Others,"514","538,454","1940",40.764161500000000,-73.958290599999998
"1","1010200",Manhattan,I,"010200","102",MN17,Midtown-Midtown South,"3807",1860992.7048500000964850187301635742188,5687.8024386600000070757232606410980,Manhattan 102,"100","64","0","23","2","0","0","11",NYU Langone Hospitals,"550 First Avenue, New York, NY 10016",NYU Langone,"844","1,153,372","1900",40.742126499999998,-73.976152900000002
"1","1010200",Manhattan,I,"010200","102",MN17,Midtown-Midtown South,"3807",1860992.7048500000964850187301635742188,5687.8024386600000070757232606410980,Manhattan 102,"100","64","0","23","2","0","0","11",Rockefeller University Hospital,"1230 York Avenue, New York, NY 10021",Others,"40","1,200,000","1940",40.762503799999998,-73.957727800000001
"1","1010200",Manhattan,I,"010200","102",MN17,Midtown-Midtown South,"3807",1860992.7048500000964850187301635742188,5687.8024386600000070757232606410980,Manhattan 102,"100","64","0","23","2","0","0","11",Memorial Hospital for Cancer and Allied Diseases,"1275 York Avenue, New York, NY 10065",Others,"514","538,454","1940",40.764161500000000,-73.958290599999998
"1","1010200",Manhattan,I,"010200","102",MN17,Midtown-Midtown South,"3807",1860992.7048500000964850187301635742188,5687.8024386600000070757232606410980,Manhattan 102,"100","64","0","23","2","0","0","11",Mount Sinai West,"1000 Tenth Avenue, New York, NY 10019",Mount Sinai,"514","1,104,505","1992",40.770002200000000,-73.989668399999999
