"","Provider Name","DRG_num","Discharge_Year","Variable","YoY_Change","system"
"1","BELLEVUE HOSPITAL CENTER","291",2015,"Discharges",50,"Health+"
"2","BELLEVUE HOSPITAL CENTER","291",2015,"Medicare_Payments",-9.2,"Health+"
"3","BELLEVUE HOSPITAL CENTER","291",2015,"Total_Payments",-3.6,"Health+"
"4","BELLEVUE HOSPITAL CENTER","291",2015,"Non_Medicare_Payments",45.1,"Health+"
"5","BELLEVUE HOSPITAL CENTER","291",2016,"Discharges",-16.7,"Health+"
"6","BELLEVUE HOSPITAL CENTER","291",2016,"Medicare_Payments",-10.9,"Health+"
"7","BELLEVUE HOSPITAL CENTER","291",2016,"Total_Payments",-14.6,"Health+"
"8","BELLEVUE HOSPITAL CENTER","291",2016,"Non_Medicare_Payments",-34.5,"Health+"
"9","BELLEVUE HOSPITAL CENTER","291",2017,"Discharges",66.7,"Health+"
"10","BELLEVUE HOSPITAL CENTER","291",2017,"Medicare_Payments",14,"Health+"
"11","BELLEVUE HOSPITAL CENTER","291",2017,"Total_Payments",10.4,"Health+"
"12","BELLEVUE HOSPITAL CENTER","291",2017,"Non_Medicare_Payments",-16,"Health+"
"13","BELLEVUE HOSPITAL CENTER","312",2015,"Discharges",-28.8,"Health+"
"14","BELLEVUE HOSPITAL CENTER","312",2015,"Medicare_Payments",-15,"Health+"
"15","BELLEVUE HOSPITAL CENTER","312",2015,"Total_Payments",-9.1,"Health+"
"16","BELLEVUE HOSPITAL CENTER","312",2015,"Non_Medicare_Payments",45.3,"Health+"
"17","BELLEVUE HOSPITAL CENTER","312",2016,"Discharges",-11.5,"Health+"
"18","BELLEVUE HOSPITAL CENTER","312",2016,"Medicare_Payments",-7.5,"Health+"
"19","BELLEVUE HOSPITAL CENTER","312",2016,"Total_Payments",-9.5,"Health+"
"20","BELLEVUE HOSPITAL CENTER","312",2016,"Non_Medicare_Payments",-19.8,"Health+"
"21","BELLEVUE HOSPITAL CENTER","312",2017,"Discharges",-10.9,"Health+"
"22","BELLEVUE HOSPITAL CENTER","312",2017,"Medicare_Payments",12.5,"Health+"
"23","BELLEVUE HOSPITAL CENTER","312",2017,"Total_Payments",8.5,"Health+"
"24","BELLEVUE HOSPITAL CENTER","312",2017,"Non_Medicare_Payments",-16.1,"Health+"
"25","BELLEVUE HOSPITAL CENTER","392",2015,"Discharges",-8.3,"Health+"
"26","BELLEVUE HOSPITAL CENTER","392",2015,"Medicare_Payments",-15.8,"Health+"
"27","BELLEVUE HOSPITAL CENTER","392",2015,"Total_Payments",-13.1,"Health+"
"28","BELLEVUE HOSPITAL CENTER","392",2015,"Non_Medicare_Payments",11.2,"Health+"
"29","BELLEVUE HOSPITAL CENTER","392",2016,"Discharges",-18.2,"Health+"
"30","BELLEVUE HOSPITAL CENTER","392",2016,"Medicare_Payments",-10.7,"Health+"
"31","BELLEVUE HOSPITAL CENTER","392",2016,"Total_Payments",-12.6,"Health+"
"32","BELLEVUE HOSPITAL CENTER","392",2016,"Non_Medicare_Payments",-26.1,"Health+"
"33","BELLEVUE HOSPITAL CENTER","392",2017,"Discharges",18.5,"Health+"
"34","BELLEVUE HOSPITAL CENTER","392",2017,"Medicare_Payments",16.1,"Health+"
"35","BELLEVUE HOSPITAL CENTER","392",2017,"Total_Payments",16.2,"Health+"
"36","BELLEVUE HOSPITAL CENTER","392",2017,"Non_Medicare_Payments",17.3,"Health+"
"37","BELLEVUE HOSPITAL CENTER","470",2015,"Discharges",NA,"Health+"
"38","BELLEVUE HOSPITAL CENTER","470",2015,"Medicare_Payments",NA,"Health+"
"39","BELLEVUE HOSPITAL CENTER","470",2015,"Total_Payments",NA,"Health+"
"40","BELLEVUE HOSPITAL CENTER","470",2015,"Non_Medicare_Payments",NA,"Health+"
"41","BELLEVUE HOSPITAL CENTER","470",2016,"Discharges",NA,"Health+"
"42","BELLEVUE HOSPITAL CENTER","470",2016,"Medicare_Payments",NA,"Health+"
"43","BELLEVUE HOSPITAL CENTER","470",2016,"Total_Payments",NA,"Health+"
"44","BELLEVUE HOSPITAL CENTER","470",2016,"Non_Medicare_Payments",NA,"Health+"
