apr_drg_code,facility_name,payment_typology_1,apr_severity_of_illness,patients,mean_length_of_stay,mean_total_charges_day,System,area_sqmi,Number of Beds
194,Bellevue Hospital Center,Blue Cross/Blue Shield,Extreme,1,13,5862.04,Health+,0.77,912
194,Bellevue Hospital Center,Blue Cross/Blue Shield,Major,1,1,9352.74,Health+,0.77,912
194,Bellevue Hospital Center,Blue Cross/Blue Shield,Minor,1,12,5320.11,Health+,0.77,912
194,Bellevue Hospital Center,Blue Cross/Blue Shield,Moderate,4,3.75,6556.745,Health+,0.77,912
194,Bellevue Hospital Center,Medicare,Extreme,10,16.5,6252.629,Health+,0.77,912
194,Bellevue Hospital Center,Medicare,Major,62,8.983870968,6278.053226,Health+,0.77,912
194,Bellevue Hospital Center,Medicare,Minor,21,2.904761905,7367.797143,Health+,0.77,912
194,Bellevue Hospital Center,Medicare,Moderate,94,4.744680851,6846.331702,Health+,0.77,912
194,Bellevue Hospital Center,Private Health Insurance,Major,1,3,5760.76,Health+,0.77,912
194,Bellevue Hospital Center,Private Health Insurance,Minor,2,1.5,8109.33,Health+,0.77,912
194,Bellevue Hospital Center,Private Health Insurance,Moderate,5,4.2,6370.176,Health+,0.77,912
194,Bellevue Hospital Center,Self-Pay,Major,5,7.6,6858.384,Health+,0.77,912
194,Bellevue Hospital Center,Self-Pay,Minor,4,5,6735.6525,Health+,0.77,912
194,Bellevue Hospital Center,Self-Pay,Moderate,10,5,6888.525,Health+,0.77,912
194,Bronx-Lebanon Hospital Center - Concourse Division,Blue Cross/Blue Shield,Major,6,3.5,3919.838333,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Blue Cross/Blue Shield,Minor,1,2,4536.52,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Blue Cross/Blue Shield,Moderate,6,1.5,5992.566667,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Medicare,Extreme,21,8.904761905,3571.858095,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Medicare,Major,170,6.052941176,3665.652529,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Medicare,Minor,18,3.055555556,4362.501111,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Medicare,Moderate,189,3.71957672,3897.506561,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Private Health Insurance,Extreme,3,5.333333333,1870.756667,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Private Health Insurance,Major,21,8.19047619,2088.095238,Mount Sinai,2.194,415
