apr_drg_code,facility_name,race,ethnicity,payment_typology_1,apr_severity_of_illness,age_group,patients,mean_length_of_stay,mean_total_charges_day,System,area_sqmi,Number of Beds
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Blue Cross/Blue Shield,Moderate,30 to 49,1,5,6358.26,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Blue Cross/Blue Shield,Moderate,50 to 69,2,4.5,6826.615,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Extreme,70 or Older,1,15,6189.85,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Major,30 to 49,1,2,6743.39,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Major,50 to 69,5,13.2,4916.832,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Major,70 or Older,4,10.25,5629.7074999999995,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Minor,50 to 69,1,5,6388.03,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Minor,70 or Older,1,3,7192.22,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Moderate,30 to 49,1,1,8157.51,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Moderate,50 to 69,13,4.846153846153846,6479.11076923077,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Moderate,70 or Older,4,6.25,7070.952499999999,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Major,50 to 69,2,3.5,10876.81,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Major,70 or Older,1,3,7004.65,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Moderate,50 to 69,1,3,7719.26,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Self-Pay,Major,30 to 49,1,12,5541.42,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Self-Pay,Major,50 to 69,1,10,6679.63,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Self-Pay,Minor,50 to 69,1,2,8038.81,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Self-Pay,Moderate,30 to 49,1,8,6669.94,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Self-Pay,Moderate,50 to 69,4,7.25,6684.7,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Self-Pay,Moderate,70 or Older,1,1,7308.36,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Spanish/Hispanic,Medicare,Major,50 to 69,1,3,6578.56,Health+,0.77,912
194,Bellevue Hospital Center,Black/African American,Spanish/Hispanic,Private Health Insurance,Minor,50 to 69,1,8,5788.61,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Blue Cross/Blue Shield,Major,30 to 49,1,4,7072.22,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Medicare,Extreme,50 to 69,1,2,9964.3,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Medicare,Extreme,70 or Older,3,14.666666666666666,6117.503333333333,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Medicare,Major,50 to 69,9,17.333333333333332,6149.954444444445,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Medicare,Major,70 or Older,15,6.4,6462.717333333333,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Medicare,Minor,50 to 69,2,3,6665,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Medicare,Minor,70 or Older,3,2.3333333333333335,8271.59,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Medicare,Moderate,50 to 69,11,5.2727272727272725,6527.335454545455,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Medicare,Moderate,70 or Older,13,5,6442.471538461538,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Private Health Insurance,Major,30 to 49,1,6,8192.29,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Private Health Insurance,Major,50 to 69,2,10.5,6194.57,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Private Health Insurance,Minor,50 to 69,1,2,8428.43,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Private Health Insurance,Moderate,30 to 49,2,2,9682.95,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Private Health Insurance,Moderate,50 to 69,1,5,9014.14,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Self-Pay,Extreme,50 to 69,2,12.5,5560.705,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Self-Pay,Major,50 to 69,2,10.5,5608.35,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Self-Pay,Minor,50 to 69,1,2,6839.43,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Self-Pay,Minor,70 or Older,1,6,6775.26,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Self-Pay,Moderate,70 or Older,2,2,7047.57,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Extreme,50 to 69,1,5,7343.85,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Extreme,70 or Older,3,11.333333333333334,6478.586666666666,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Major,50 to 69,5,12.8,5727.338,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Major,70 or Older,6,13.833333333333334,5633.126666666667,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Minor,50 to 69,2,3,7726.215,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Minor,70 or Older,4,2.25,7958.045,Health+,0.77,912
