apr_drg_code,facility_name,race,ethnicity,payment_typology_1,apr_severity_of_illness_description,age_group,patients,mean_length_of_stay,mean_total_charges_day,System,area_sqmi,Number of Beds
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Blue Cross/Blue Shield,Major,50 to 69,1,8,6924.54,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Blue Cross/Blue Shield,Moderate,50 to 69,1,2,10016.77,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Extreme,30 to 49,1,23,8268.48,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Extreme,50 to 69,5,14,7463.616,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Extreme,70 or Older,8,9.875,8126.047500000001,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Major,30 to 49,1,10,7420.8,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Major,50 to 69,3,7,5799.2266666666665,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Major,70 or Older,8,11.125,5554.02,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Moderate,30 to 49,1,5,6270.06,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Moderate,50 to 69,2,6,6279.6849999999995,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Medicare,Moderate,70 or Older,5,6.2,6428.022,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Major,50 to 69,1,11,5258.2,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Minor,50 to 69,1,12,5449.19,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Moderate,70 or Older,1,9,5550.23,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Self-Pay,Extreme,30 to 49,1,4,7978.17,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Self-Pay,Extreme,50 to 69,1,17,5434.44,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Self-Pay,Major,30 to 49,1,2,6661.48,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Not Span/Hispanic,Self-Pay,Moderate,18 to 29,1,3,6114.57,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Spanish/Hispanic,Medicare,Major,50 to 69,1,7,8408.35,Health+,0.77,912
720,Bellevue Hospital Center,Black/African American,Spanish/Hispanic,Medicare,Moderate,70 or Older,1,3,6001.64,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Blue Cross/Blue Shield,Moderate,50 to 69,1,3,6388.01,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Medicare,Extreme,50 to 69,9,11.555555555555555,8438.327777777778,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Medicare,Extreme,70 or Older,13,9.846153846153847,6886.998461538462,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Medicare,Major,50 to 69,10,6.1,6081.758,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Medicare,Major,70 or Older,29,9.344827586206897,6300.337586206897,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Medicare,Minor,70 or Older,1,2,7239.82,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Medicare,Moderate,30 to 49,3,5,6293.2733333333335,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Medicare,Moderate,50 to 69,2,6,6503.105,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Medicare,Moderate,70 or Older,6,7.166666666666667,6404.51,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Private Health Insurance,Extreme,30 to 49,3,12,6726.586666666666,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Private Health Insurance,Major,50 to 69,1,9,6125.21,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Private Health Insurance,Moderate,50 to 69,1,4,6514.87,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Self-Pay,Extreme,50 to 69,1,33,5892.97,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Self-Pay,Major,50 to 69,3,5,7130.25,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Self-Pay,Minor,30 to 49,1,3,6888.93,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Self-Pay,Minor,50 to 69,1,6,5767.04,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Self-Pay,Moderate,18 to 29,1,2,7580.18,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Self-Pay,Moderate,30 to 49,2,2.5,6834.07,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Not Span/Hispanic,Self-Pay,Moderate,70 or Older,1,6,5733.89,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Extreme,30 to 49,1,27,6451.72,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Extreme,50 to 69,2,9,6929.67,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Extreme,70 or Older,10,17.4,6183.8730000000005,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Major,30 to 49,1,1,8656.43,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Major,50 to 69,9,7,6642.724444444444,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Major,70 or Older,14,9.357142857142858,6955.985,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Minor,50 to 69,1,3,7037.36,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Minor,70 or Older,1,10,5203.09,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Moderate,30 to 49,1,2,7524.55,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Moderate,50 to 69,4,10.25,5714.5925,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Moderate,70 or Older,9,7.333333333333333,5435.198888888889,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Private Health Insurance,Moderate,18 to 29,1,3,7921.24,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Self-Pay,Extreme,30 to 49,1,17,5954.72,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Self-Pay,Major,30 to 49,1,15,5602.66,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Self-Pay,Major,50 to 69,2,10,7055.485000000001,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Self-Pay,Minor,30 to 49,2,2.5,6454.57,Health+,0.77,912
720,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Self-Pay,Moderate,30 to 49,2,10.5,6202.085,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Blue Cross/Blue Shield,Major,18 to 29,1,8,7110.01,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Blue Cross/Blue Shield,Moderate,18 to 29,2,6,6415.43,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Blue Cross/Blue Shield,Moderate,30 to 49,1,3,6363.49,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Blue Cross/Blue Shield,Moderate,70 or Older,1,14,5516.42,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Medicare,Extreme,30 to 49,1,49,5804.85,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Medicare,Extreme,50 to 69,5,20,6533.18,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Medicare,Extreme,70 or Older,15,14.933333333333334,6802.611333333333,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Medicare,Major,50 to 69,6,9,6084.3550000000005,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Medicare,Major,70 or Older,9,8.88888888888889,6537.321111111111,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Medicare,Minor,70 or Older,1,5,6064.69,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Medicare,Moderate,50 to 69,6,5.166666666666667,6216.4366666666665,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Medicare,Moderate,70 or Older,10,6.6,7196.156,Health+,0.77,912
