apr_drg_code,facility_name,payment_typology_1,apr_severity_of_illness,patients,mean_length_of_stay,mean_total_charges_day,System,area_sqmi,Number of Beds
720,Bellevue Hospital Center,Blue Cross/Blue Shield,Extreme,3,22.33333333,6189.063333,Health+,0.77,912
720,Bellevue Hospital Center,Blue Cross/Blue Shield,Major,2,3,7340.915,Health+,0.77,912
720,Bellevue Hospital Center,Medicare,Extreme,58,13.34482759,6674.158276,Health+,0.77,912
720,Bellevue Hospital Center,Medicare,Major,66,8.484848485,6331.000606,Health+,0.77,912
720,Bellevue Hospital Center,Medicare,Minor,1,3,6077.47,Health+,0.77,912
720,Bellevue Hospital Center,Medicare,Moderate,34,5.617647059,6144.059706,Health+,0.77,912
720,Bellevue Hospital Center,Private Health Insurance,Extreme,10,9.9,6857.482,Health+,0.77,912
720,Bellevue Hospital Center,Private Health Insurance,Major,7,5.857142857,6630.138571,Health+,0.77,912
720,Bellevue Hospital Center,Private Health Insurance,Minor,1,8,5401.18,Health+,0.77,912
720,Bellevue Hospital Center,Private Health Insurance,Moderate,4,5.25,6101.6275,Health+,0.77,912
720,Bellevue Hospital Center,Self-Pay,Extreme,13,14.23076923,6577.755385,Health+,0.77,912
720,Bellevue Hospital Center,Self-Pay,Major,15,8.866666667,6241.866667,Health+,0.77,912
720,Bellevue Hospital Center,Self-Pay,Minor,2,2.5,9058.185,Health+,0.77,912
720,Bellevue Hospital Center,Self-Pay,Moderate,15,5.533333333,6768.032667,Health+,0.77,912
720,Bronx-Lebanon Hospital Center - Concourse Division,Blue Cross/Blue Shield,Extreme,3,11.66666667,3683.22,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Blue Cross/Blue Shield,Major,1,4,8168.49,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Blue Cross/Blue Shield,Moderate,1,3,4097.52,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Medicare,Extreme,143,10.1958042,4929.281748,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Medicare,Major,118,6.771186441,3746.836102,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Medicare,Minor,3,3,4022.643333,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Medicare,Moderate,27,5.851851852,3531.272593,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Private Health Insurance,Extreme,4,10.75,2325.1575,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Private Health Insurance,Major,12,8.166666667,3240.786667,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Private Health Insurance,Moderate,12,3.833333333,3590.996667,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Self-Pay,Extreme,1,17,2894.56,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Self-Pay,Major,3,10,4695.596667,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Self-Pay,Moderate,2,7,3220.69,Mount Sinai,2.194,415
720,Brookdale Hospital Medical Center,Blue Cross/Blue Shield,Extreme,1,1,33656.73,Others,14.72,530
720,Brookdale Hospital Medical Center,Blue Cross/Blue Shield,Moderate,3,4,4004.18,Others,14.72,530
720,Brookdale Hospital Medical Center,Medicare,Extreme,108,10,8855.331852,Others,14.72,530
720,Brookdale Hospital Medical Center,Medicare,Major,88,6.704545455,6201.438864,Others,14.72,530
720,Brookdale Hospital Medical Center,Medicare,Minor,1,4,5637.12,Others,14.72,530
720,Brookdale Hospital Medical Center,Medicare,Moderate,20,5.9,5111.7405,Others,14.72,530
720,Brookdale Hospital Medical Center,Private Health Insurance,Extreme,9,6.777777778,12026.25111,Others,14.72,530
720,Brookdale Hospital Medical Center,Private Health Insurance,Major,3,3.666666667,11643.76667,Others,14.72,530
720,Brookdale Hospital Medical Center,Private Health Insurance,Minor,1,2,4621.64,Others,14.72,530
720,Brookdale Hospital Medical Center,Private Health Insurance,Moderate,2,2.5,5807.53,Others,14.72,530
720,Brooklyn Hospital Center - Downtown Campus,Blue Cross/Blue Shield,Major,1,14,7362.72,SUNY,2.958,464
720,Brooklyn Hospital Center - Downtown Campus,Medicare,Extreme,132,8.856060606,12515.89629,SUNY,2.958,464
720,Brooklyn Hospital Center - Downtown Campus,Medicare,Major,105,7.819047619,10878.7039,SUNY,2.958,464
720,Brooklyn Hospital Center - Downtown Campus,Medicare,Minor,2,4,8199.775,SUNY,2.958,464
720,Brooklyn Hospital Center - Downtown Campus,Medicare,Moderate,20,5.45,10621.0655,SUNY,2.958,464
720,Brooklyn Hospital Center - Downtown Campus,Private Health Insurance,Extreme,21,8.619047619,7792.760952,SUNY,2.958,464
720,Brooklyn Hospital Center - Downtown Campus,Private Health Insurance,Major,16,5.1875,7481.725625,SUNY,2.958,464
720,Brooklyn Hospital Center - Downtown Campus,Private Health Insurance,Minor,2,3,9415,SUNY,2.958,464
720,Brooklyn Hospital Center - Downtown Campus,Private Health Insurance,Moderate,4,2.5,11694.8625,SUNY,2.958,464
720,Brooklyn Hospital Center - Downtown Campus,Self-Pay,Extreme,1,10,12993.14,SUNY,2.958,464
720,Brooklyn Hospital Center - Downtown Campus,Self-Pay,Moderate,1,1,13085.37,SUNY,2.958,464
720,Calvary Hospital Inc,Medicare,Extreme,1,93,1981.82,Others,4.495,200
720,Calvary Hospital Inc,Medicare,Major,11,14.09090909,2105.610909,Others,4.495,200
720,Calvary Hospital Inc,Medicare,Moderate,1,2,2141.96,Others,4.495,200
720,Calvary Hospital Inc,Private Health Insurance,Major,1,7,2092.85,Others,4.495,200
720,Calvary Hospital Inc,Private Health Insurance,Moderate,1,8,1951,Others,4.495,200
720,Coney Island Hospital,Blue Cross/Blue Shield,Extreme,2,12.5,7707.775,Health+,9.415,371
720,Coney Island Hospital,Blue Cross/Blue Shield,Major,3,7.333333333,7452.32,Health+,9.415,371
720,Coney Island Hospital,Medicare,Extreme,244,14.95081967,7712.046311,Health+,9.415,371
720,Coney Island Hospital,Medicare,Major,162,9.055555556,6696.410802,Health+,9.415,371
720,Coney Island Hospital,Medicare,Minor,2,3.5,8011.565,Health+,9.415,371
720,Coney Island Hospital,Medicare,Moderate,42,7.047619048,6291.217143,Health+,9.415,371
720,Coney Island Hospital,Private Health Insurance,Extreme,2,8.5,10690.05,Health+,9.415,371
720,Coney Island Hospital,Private Health Insurance,Major,4,5.75,6534.3275,Health+,9.415,371
720,Coney Island Hospital,Private Health Insurance,Moderate,5,4.4,6730.448,Health+,9.415,371
720,Coney Island Hospital,Self-Pay,Extreme,8,14.75,6442.54875,Health+,9.415,371
720,Coney Island Hospital,Self-Pay,Major,6,8.333333333,6158.871667,Health+,9.415,371
720,Coney Island Hospital,Self-Pay,Minor,3,3,7870.616667,Health+,9.415,371
720,Coney Island Hospital,Self-Pay,Moderate,2,4,6818.2,Health+,9.415,371
720,Elmhurst Hospital Center,Blue Cross/Blue Shield,Extreme,3,9,7805.43,Health+,10.09,545
720,Elmhurst Hospital Center,Blue Cross/Blue Shield,Major,5,12.6,6385.002,Health+,10.09,545
720,Elmhurst Hospital Center,Blue Cross/Blue Shield,Minor,1,3,7086.51,Health+,10.09,545
720,Elmhurst Hospital Center,Medicare,Extreme,126,15.61111111,7098.97373,Health+,10.09,545
720,Elmhurst Hospital Center,Medicare,Major,138,11.02173913,6222.481812,Health+,10.09,545
720,Elmhurst Hospital Center,Medicare,Minor,5,3.8,6573.452,Health+,10.09,545
720,Elmhurst Hospital Center,Medicare,Moderate,45,6.555555556,6493.077333,Health+,10.09,545
720,Elmhurst Hospital Center,Private Health Insurance,Extreme,4,11.5,12781.8575,Health+,10.09,545
720,Elmhurst Hospital Center,Private Health Insurance,Major,11,9.454545455,5803.207273,Health+,10.09,545
720,Elmhurst Hospital Center,Private Health Insurance,Minor,3,2.333333333,7532.72,Health+,10.09,545
720,Elmhurst Hospital Center,Private Health Insurance,Moderate,5,4.4,6675.152,Health+,10.09,545
720,Elmhurst Hospital Center,Self-Pay,Extreme,13,21.46153846,6424.917692,Health+,10.09,545
720,Elmhurst Hospital Center,Self-Pay,Major,19,8.894736842,7644.703158,Health+,10.09,545
720,Elmhurst Hospital Center,Self-Pay,Minor,3,2.333333333,7361.23,Health+,10.09,545
720,Elmhurst Hospital Center,Self-Pay,Moderate,8,5.625,6228.99,Health+,10.09,545
720,Flushing Hospital Medical Center,Blue Cross/Blue Shield,Extreme,8,14.375,9069.22125,Others,14.16,299
720,Flushing Hospital Medical Center,Blue Cross/Blue Shield,Major,2,7,3485.56,Others,14.16,299
720,Flushing Hospital Medical Center,Blue Cross/Blue Shield,Moderate,2,12.5,3756.74,Others,14.16,299
720,Flushing Hospital Medical Center,Medicare,Extreme,231,12.51515152,6800.095931,Others,14.16,299
720,Flushing Hospital Medical Center,Medicare,Major,167,11.30538922,4033.157186,Others,14.16,299
720,Flushing Hospital Medical Center,Medicare,Minor,2,7,3819.22,Others,14.16,299
720,Flushing Hospital Medical Center,Medicare,Moderate,58,7.844827586,3558.807069,Others,14.16,299
720,Flushing Hospital Medical Center,Private Health Insurance,Extreme,8,25.75,6851.09375,Others,14.16,299
720,Flushing Hospital Medical Center,Private Health Insurance,Major,3,10,4031.11,Others,14.16,299
720,Flushing Hospital Medical Center,Private Health Insurance,Minor,1,5,2702.1,Others,14.16,299
720,Flushing Hospital Medical Center,Private Health Insurance,Moderate,2,8.5,3356.96,Others,14.16,299
720,Flushing Hospital Medical Center,Self-Pay,Extreme,5,25.2,5394.04,Others,14.16,299
720,Flushing Hospital Medical Center,Self-Pay,Major,2,7,6648.15,Others,14.16,299
720,Flushing Hospital Medical Center,Self-Pay,Moderate,2,4,2796.445,Others,14.16,299
720,Harlem Hospital Center,Blue Cross/Blue Shield,Extreme,1,21,7237.15,Health+,1.517,282
720,Harlem Hospital Center,Blue Cross/Blue Shield,Major,2,3.5,7599.22,Health+,1.517,282
720,Harlem Hospital Center,Blue Cross/Blue Shield,Minor,1,3,6580.01,Health+,1.517,282
720,Harlem Hospital Center,Blue Cross/Blue Shield,Moderate,3,5.333333333,6621.29,Health+,1.517,282
720,Harlem Hospital Center,Medicare,Extreme,58,12.72413793,6869.440862,Health+,1.517,282
720,Harlem Hospital Center,Medicare,Major,48,8,5935.31625,Health+,1.517,282
720,Harlem Hospital Center,Medicare,Moderate,13,5.923076923,6301.259231,Health+,1.517,282
720,Harlem Hospital Center,Private Health Insurance,Extreme,6,8.666666667,7075.91,Health+,1.517,282
720,Harlem Hospital Center,Private Health Insurance,Major,1,4,6078.91,Health+,1.517,282
720,Harlem Hospital Center,Private Health Insurance,Moderate,6,3.833333333,6232.906667,Health+,1.517,282
